year,total_health_budget_cr,mental_health_cr,mental_health_pct,tele_mh_cr,source_url
2021,71269,791,1.11,0,https://prsindia.org/budgets
2022,76370,791,1.04,0,https://prsindia.org/budgets
2023,86200,791,0.92,65,https://cmhlp.org/wp-content/uploads/2023/02/Budget-Brief-2023-v3.pdf
2024,90659,919,1.01,65,https://prsindia.org/budgets/parliament/demand-for-grants-2024-25-analysis-health-and-family-welfare
2025,99859,950,1.05,90,https://cmhlp.org/imho/blog/mental-health-funding-in-india-when-economic-surveys-and-budget-realities-diverge/
